benchmark,model,seed,fraction,n_hf,n_lf,n_train,pool,dim,fit_flops,predict_flops,ok
Branin-Unfav,Progressive,43,0.3,7,16,23,2500,2,55987968,43200000,1
Branin-Unfav,Progressive,43,0.5,12,26,38,2500,2,92328448,43200000,1
Branin-Unfav,Progressive,43,0.7,17,36,53,2500,2,128668928,43200000,1
Branin-Unfav,Progressive,43,1.0,24,52,76,2500,2,184656896,43200000,1
Branin-Unfav,Curriculum,42,0.1,2,5,7,2500,2,39252992,43200000,1
Branin-Unfav,Curriculum,42,0.3,7,16,23,2500,2,105341056,43200000,1
Branin-Unfav,Curriculum,42,0.5,12,26,38,2500,2,172466688,43200000,1
Branin-Unfav,Curriculum,42,0.7,17,36,53,2500,2,240209792,43200000,1
Branin-Unfav,Curriculum,42,1.0,24,52,76,2500,2,345825280,43200000,1
Branin-Unfav,Curriculum,43,0.1,2,5,7,2500,2,39252992,43200000,1
Branin-Unfav,Curriculum,43,0.3,7,16,23,2500,2,105341056,43200000,1
Branin-Unfav,Curriculum,43,0.5,12,26,38,2500,2,172466688,43200000,1
Branin-Unfav,Curriculum,43,0.7,17,36,53,2500,2,240209792,43200000,1
Branin-Unfav,Curriculum,43,1.0,24,52,76,2500,2,345825280,43200000,1
Branin-Unfav,Two-Stage Joint,42,0.1,2,5,7,2500,2,35873280,43200000,1
Branin-Unfav,Two-Stage Joint,42,0.3,7,16,23,2500,2,117889536,43200000,1
Branin-Unfav,Two-Stage Joint,42,0.5,12,26,38,2500,2,194794496,43200000,1
Branin-Unfav,Two-Stage Joint,42,0.7,17,36,53,2500,2,271699456,43200000,1
Branin-Unfav,Two-Stage Joint,42,1.0,24,52,76,2500,2,389588992,43200000,1
Branin-Unfav,Two-Stage Joint,43,0.1,2,5,7,2500,2,35873280,43200000,1
Branin-Unfav,Two-Stage Joint,43,0.3,7,16,23,2500,2,117889536,43200000,1
Branin-Unfav,Two-Stage Joint,43,0.5,12,26,38,2500,2,194794496,43200000,1
Branin-Unfav,Two-Stage Joint,43,0.7,17,36,53,2500,2,271699456,43200000,1
Branin-Unfav,Two-Stage Joint,43,1.0,24,52,76,2500,2,389588992,43200000,1
Branin-Unfav,DNGO-Joint,42,0.1,2,5,7,2500,2,58832640,43200000,1
Branin-Unfav,DNGO-Joint,42,0.3,7,16,23,2500,2,194439168,43200000,1
Branin-Unfav,DNGO-Joint,42,0.5,12,26,38,2500,2,322395648,43200000,1
Branin-Unfav,DNGO-Joint,42,0.7,17,36,53,2500,2,450352128,43200000,1
Branin-Unfav,DNGO-Joint,42,1.0,24,52,76,2500,2,644791296,43200000,1
Branin-Unfav,DNGO-Joint,43,0.1,2,5,7,2500,2,58832640,43200000,1
Branin-Unfav,DNGO-Joint,43,0.3,7,16,23,2500,2,194439168,43200000,1
Branin-Unfav,DNGO-Joint,43,0.5,12,26,38,2500,2,322395648,43200000,1
Branin-Unfav,DNGO-Joint,43,0.7,17,36,53,2500,2,450352128,43200000,1
Branin-Unfav,DNGO-Joint,43,1.0,24,52,76,2500,2,644791296,43200000,1
Branin-Unfav,DNGO-Gradient,42,0.1,2,5,7,2500,2,69200640,43200000,1
Branin-Unfav,DNGO-Gradient,42,0.3,7,16,23,2500,2,230727168,43200000,1
Branin-Unfav,DNGO-Gradient,42,0.5,12,26,38,2500,2,384603648,43200000,1
Branin-Unfav,DNGO-Gradient,42,0.7,17,36,53,2500,2,538480128,43200000,1
Branin-Unfav,DNGO-Gradient,42,1.0,24,52,76,2500,2,769207296,43200000,1
Branin-Unfav,DNGO-Gradient,43,0.1,2,5,7,2500,2,69200640,43200000,1
Branin-Unfav,DNGO-Gradient,43,0.3,7,16,23,2500,2,230727168,43200000,1
Branin-Unfav,DNGO-Gradient,43,0.5,12,26,38,2500,2,384603648,43200000,1
Branin-Unfav,DNGO-Gradient,43,0.7,17,36,53,2500,2,538480128,43200000,1
Branin-Unfav,DNGO-Gradient,43,1.0,24,52,76,2500,2,769207296,43200000,1
Branin-Unfav,Knowledge Distillation,42,0.1,2,5,7,2500,2,32375040,43200000,1
Branin-Unfav,Knowledge Distillation,42,0.3,7,16,23,2500,2,105658368,43200000,1
Branin-Unfav,Knowledge Distillation,42,0.5,12,26,38,2500,2,173838848,43200000,1
Branin-Unfav,Knowledge Distillation,42,0.7,17,36,53,2500,2,242019328,43200000,1
Branin-Unfav,Knowledge Distillation,42,1.0,24,52,76,2500,2,347677696,43200000,1
Branin-Unfav,Knowledge Distillation,43,0.1,2,5,7,2500,2,32375040,43200000,1
Branin-Unfav,Knowledge Distillation,43,0.3,7,16,23,2500,2,105658368,43200000,1
Branin-Unfav,Knowledge Distillation,43,0.5,12,26,38,2500,2,173838848,43200000,1
Branin-Unfav,Knowledge Distillation,43,0.7,17,36,53,2500,2,242019328,43200000,1
Branin-Unfav,Knowledge Distillation,43,1.0,24,52,76,2500,2,347677696,43200000,1
Branin-Unfav,Domain Adaptation (MMD),42,0.1,2,5,7,2500,2,50030080,43200000,1
Branin-Unfav,Domain Adaptation (MMD),42,0.3,7,16,23,2500,2,163675136,43200000,1
Branin-Unfav,Domain Adaptation (MMD),42,0.5,12,26,38,2500,2,269700096,43200000,1
Branin-Unfav,Domain Adaptation (MMD),42,0.7,17,36,53,2500,2,375725056,43200000,1
Branin-Unfav,Domain Adaptation (MMD),42,1.0,24,52,76,2500,2,539400192,43200000,1
Branin-Unfav,Domain Adaptation (MMD),43,0.1,2,5,7,2500,2,50030080,43200000,1
Branin-Unfav,Domain Adaptation (MMD),43,0.3,7,16,23,2500,2,163675136,43200000,1
Branin-Unfav,Domain Adaptation (MMD),43,0.5,12,26,38,2500,2,269700096,43200000,1
Branin-Unfav,Domain Adaptation (MMD),43,0.7,17,36,53,2500,2,375725056,43200000,1
Branin-Unfav,Domain Adaptation (MMD),43,1.0,24,52,76,2500,2,539400192,43200000,1
Branin-Unfav,Soft Parameter Sharing,42,0.1,2,5,7,2500,2,46147840,43200000,1
Branin-Unfav,Soft Parameter Sharing,42,0.3,7,16,23,2500,2,153863168,43200000,1
Branin-Unfav,Soft Parameter Sharing,42,0.5,12,26,38,2500,2,256475648,43200000,1
Branin-Unfav,Soft Parameter Sharing,42,0.7,17,36,53,2500,2,359088128,43200000,1
Branin-Unfav,Soft Parameter Sharing,42,1.0,24,52,76,2500,2,512951296,43200000,1
Branin-Unfav,Soft Parameter Sharing,43,0.1,2,5,7,2500,2,46147840,43200000,1
Branin-Unfav,Soft Parameter Sharing,43,0.3,7,16,23,2500,2,153863168,43200000,1
Branin-Unfav,Soft Parameter Sharing,43,0.5,12,26,38,2500,2,256475648,43200000,1
Branin-Unfav,Soft Parameter Sharing,43,0.7,17,36,53,2500,2,359088128,43200000,1
Branin-Unfav,Soft Parameter Sharing,43,1.0,24,52,76,2500,2,512951296,43200000,1
Branin-Unfav,Pseudo-Labeling,42,0.1,2,5,7,2500,2,49587072,43200000,1
Branin-Unfav,Pseudo-Labeling,42,0.3,7,16,23,2500,2,160742016,43200000,1
Branin-Unfav,Pseudo-Labeling,42,0.5,12,26,38,2500,2,263355136,43200000,1
Branin-Unfav,Pseudo-Labeling,42,0.7,17,36,53,2500,2,365968256,43200000,1
Branin-Unfav,Pseudo-Labeling,42,1.0,24,52,76,2500,2,526710272,43200000,1
Branin-Unfav,Pseudo-Labeling,43,0.1,2,5,7,2500,2,49587072,43200000,1
Branin-Unfav,Pseudo-Labeling,43,0.3,7,16,23,2500,2,160742016,43200000,1
Branin-Unfav,Pseudo-Labeling,43,0.5,12,26,38,2500,2,263355136,43200000,1
Branin-Unfav,Pseudo-Labeling,43,0.7,17,36,53,2500,2,365968256,43200000,1
Branin-Unfav,Pseudo-Labeling,43,1.0,24,52,76,2500,2,526710272,43200000,1
Branin-Unfav,Adapter,42,0.1,2,5,7,2500,2,33424640,41920000,1
Branin-Unfav,Adapter,42,0.3,7,16,23,2500,2,109331968,41920000,1
Branin-Unfav,Adapter,42,0.5,12,26,38,2500,2,180136448,41920000,1
Branin-Unfav,Adapter,42,0.7,17,36,53,2500,2,250940928,41920000,1
Branin-Unfav,Adapter,42,1.0,24,52,76,2500,2,360272896,41920000,1
Branin-Unfav,Adapter,43,0.1,2,5,7,2500,2,33424640,41920000,1
Branin-Unfav,Adapter,43,0.3,7,16,23,2500,2,109331968,41920000,1
Branin-Unfav,Adapter,43,0.5,12,26,38,2500,2,180136448,41920000,1
Branin-Unfav,Adapter,43,0.7,17,36,53,2500,2,250940928,41920000,1
Branin-Unfav,Adapter,43,1.0,24,52,76,2500,2,360272896,41920000,1
Park-Fav,MFGP,42,0.1,2,23,25,256,4,7052500,3624600,1
Park-Fav,MFGP,42,0.3,7,70,77,256,4,212234484,13309912,1
Park-Fav,MFGP,42,0.5,11,117,128,256,4,1616609280,25624576,1
Park-Fav,MFGP,42,0.7,15,164,179,256,4,3723420528,40727512,1
Park-Fav,MFGP,42,1.0,22,234,256,256,4,4800512000,68812800,1
Park-Fav,MFGP,43,0.1,2,23,25,256,4,8990000,3624600,1
Park-Fav,MFGP,43,0.3,7,70,77,256,4,171680124,13309912,1
Park-Fav,MFGP,43,0.5,11,117,128,256,4,535265280,25624576,1
Park-Fav,MFGP,43,0.7,15,164,179,256,4,2131623648,40727512,1
Park-Fav,MFGP,43,1.0,22,234,256,256,4,5261361152,68812800,1
Park-Fav,NARGP,42,0.1,2,23,25,256,4,2234764,3562552,1
Park-Fav,NARGP,42,0.3,7,70,77,256,4,312473784,12666542,1
Park-Fav,NARGP,42,0.5,11,117,128,256,4,406627296,23915166,1
Park-Fav,NARGP,42,0.7,15,164,179,256,4,1527534582,37442638,1
