benchmark,model,seed,fraction,n_hf,n_lf,n_train,pool,dim,fit_flops,predict_flops,ok
COFs,Sequential,43,0.5,8,115,123,608,14,688789760,12374016,1
COFs,Sequential,43,0.7,10,161,171,608,14,959636224,12374016,1
COFs,Sequential,43,1.0,15,230,245,608,14,1373688320,12374016,1
COFs,Progressive,42,0.1,2,23,25,608,14,70808832,12374016,1
COFs,Progressive,42,0.3,4,69,73,608,14,207498496,12374016,1
COFs,Progressive,42,0.5,8,115,123,608,14,349116160,12374016,1
COFs,Progressive,42,0.7,10,161,171,608,14,485805824,12374016,1
COFs,Progressive,42,1.0,15,230,245,608,14,695768320,12374016,1
COFs,Progressive,43,0.1,2,23,25,608,14,70808832,12374016,1
COFs,Progressive,43,0.3,4,69,73,608,14,207498496,12374016,1
COFs,Progressive,43,0.5,8,115,123,608,14,349116160,12374016,1
COFs,Progressive,43,0.7,10,161,171,608,14,485805824,12374016,1
COFs,Progressive,43,1.0,15,230,245,608,14,695768320,12374016,1
COFs,Curriculum,42,0.1,2,23,25,608,14,147117056,12374016,1
COFs,Curriculum,42,0.3,4,69,73,608,14,412224768,12374016,1
COFs,Curriculum,42,0.5,8,115,123,608,14,688131328,12374016,1
COFs,Curriculum,42,0.7,10,161,171,608,14,958492160,12374016,1
COFs,Curriculum,42,1.0,15,230,245,608,14,1371855488,12374016,1
COFs,Curriculum,43,0.1,2,23,25,608,14,147117056,12374016,1
COFs,Curriculum,43,0.3,4,69,73,608,14,412224768,12374016,1
COFs,Curriculum,43,0.5,8,115,123,608,14,688131328,12374016,1
COFs,Curriculum,43,0.7,10,161,171,608,14,958492160,12374016,1
COFs,Curriculum,43,1.0,15,230,245,608,14,1371855488,12374016,1
COFs,Two-Stage Joint,42,0.1,2,23,25,608,14,143614464,12374016,1
COFs,Two-Stage Joint,42,0.3,4,69,73,608,14,418990592,12374016,1
COFs,Two-Stage Joint,42,0.5,8,115,123,608,14,706219520,12374016,1
COFs,Two-Stage Joint,42,0.7,10,161,171,608,14,981595648,12374016,1
COFs,Two-Stage Joint,42,1.0,15,230,245,608,14,1406512640,12374016,1
COFs,Two-Stage Joint,43,0.1,2,23,25,608,14,143614464,12374016,1
COFs,Two-Stage Joint,43,0.3,4,69,73,608,14,418990592,12374016,1
COFs,Two-Stage Joint,43,0.5,8,115,123,608,14,706219520,12374016,1
COFs,Two-Stage Joint,43,0.7,10,161,171,608,14,981595648,12374016,1
COFs,Two-Stage Joint,43,1.0,15,230,245,608,14,1406512640,12374016,1
COFs,DNGO-Joint,42,0.1,2,23,25,608,14,220530432,12374016,1
COFs,DNGO-Joint,42,0.3,4,69,73,608,14,638244096,12374016,1
COFs,DNGO-Joint,42,0.5,8,115,123,608,14,1079304960,12374016,1
COFs,DNGO-Joint,42,0.7,10,161,171,608,14,1497018624,12374016,1
COFs,DNGO-Joint,42,1.0,15,230,245,608,14,2146936320,12374016,1
COFs,DNGO-Joint,43,0.1,2,23,25,608,14,220530432,12374016,1
COFs,DNGO-Joint,43,0.3,4,69,73,608,14,638244096,12374016,1
COFs,DNGO-Joint,43,0.5,8,115,123,608,14,1079304960,12374016,1
COFs,DNGO-Joint,43,0.7,10,161,171,608,14,1497018624,12374016,1
COFs,DNGO-Joint,43,1.0,15,230,245,608,14,2146936320,12374016,1
COFs,DNGO-Gradient,42,0.1,2,23,25,608,14,232741632,12374016,1
COFs,DNGO-Gradient,42,0.3,4,69,73,608,14,662666496,12374016,1
COFs,DNGO-Gradient,42,0.5,8,115,123,608,14,1128149760,12374016,1
COFs,DNGO-Gradient,42,0.7,10,161,171,608,14,1558074624,12374016,1
COFs,DNGO-Gradient,42,1.0,15,230,245,608,14,2238520320,12374016,1
COFs,DNGO-Gradient,43,0.1,2,23,25,608,14,232741632,12374016,1
COFs,DNGO-Gradient,43,0.3,4,69,73,608,14,662666496,12374016,1
COFs,DNGO-Gradient,43,0.5,8,115,123,608,14,1128149760,12374016,1
COFs,DNGO-Gradient,43,0.7,10,161,171,608,14,1558074624,12374016,1
COFs,DNGO-Gradient,43,1.0,15,230,245,608,14,2238520320,12374016,1
COFs,Knowledge Distillation,42,0.1,2,23,25,608,14,139314432,12374016,1
COFs,Knowledge Distillation,42,0.3,4,69,73,608,14,410160896,12374016,1
COFs,Knowledge Distillation,42,0.5,8,115,123,608,14,688789760,12374016,1
COFs,Knowledge Distillation,42,0.7,10,161,171,608,14,959636224,12374016,1
COFs,Knowledge Distillation,42,1.0,15,230,245,608,14,1373688320,12374016,1
COFs,Knowledge Distillation,43,0.1,2,23,25,608,14,139314432,12374016,1
COFs,Knowledge Distillation,43,0.3,4,69,73,608,14,410160896,12374016,1
COFs,Knowledge Distillation,43,0.5,8,115,123,608,14,688789760,12374016,1
COFs,Knowledge Distillation,43,0.7,10,161,171,608,14,959636224,12374016,1
COFs,Knowledge Distillation,43,1.0,15,230,245,608,14,1373688320,12374016,1
COFs,Domain Adaptation (MMD),42,0.1,2,23,25,608,14,209995264,12374016,1
COFs,Domain Adaptation (MMD),42,0.3,4,69,73,608,14,616520192,12374016,1
COFs,Domain Adaptation (MMD),42,0.5,8,115,123,608,14,1036510720,12374016,1
COFs,Domain Adaptation (MMD),42,0.7,10,161,171,608,14,1443035648,12374016,1
COFs,Domain Adaptation (MMD),42,1.0,15,230,245,608,14,2066288640,12374016,1
COFs,Domain Adaptation (MMD),43,0.1,2,23,25,608,14,209995264,12374016,1
COFs,Domain Adaptation (MMD),43,0.3,4,69,73,608,14,616520192,12374016,1
COFs,Domain Adaptation (MMD),43,0.5,8,115,123,608,14,1036510720,12374016,1
COFs,Domain Adaptation (MMD),43,0.7,10,161,171,608,14,1443035648,12374016,1
COFs,Domain Adaptation (MMD),43,1.0,15,230,245,608,14,2066288640,12374016,1
COFs,Soft Parameter Sharing,42,0.1,2,23,25,608,14,155237632,12374016,1
COFs,Soft Parameter Sharing,42,0.3,4,69,73,608,14,442007296,12374016,1
COFs,Soft Parameter Sharing,42,0.5,8,115,123,608,14,752482560,12374016,1
COFs,Soft Parameter Sharing,42,0.7,10,161,171,608,14,1039252224,12374016,1
COFs,Soft Parameter Sharing,42,1.0,15,230,245,608,14,1493112320,12374016,1
COFs,Soft Parameter Sharing,43,0.1,2,23,25,608,14,155237632,12374016,1
COFs,Soft Parameter Sharing,43,0.3,4,69,73,608,14,442007296,12374016,1
COFs,Soft Parameter Sharing,43,0.5,8,115,123,608,14,752482560,12374016,1
COFs,Soft Parameter Sharing,43,0.7,10,161,171,608,14,1039252224,12374016,1
COFs,Soft Parameter Sharing,43,1.0,15,230,245,608,14,1493112320,12374016,1
COFs,Pseudo-Labeling,42,0.1,2,23,25,608,14,229064832,12374016,1
COFs,Pseudo-Labeling,42,0.3,4,69,73,608,14,679391872,12374016,1
COFs,Pseudo-Labeling,42,0.5,8,115,123,608,14,1137521536,12374016,1
COFs,Pseudo-Labeling,42,0.7,10,161,171,608,14,1587848576,12374016,1
COFs,Pseudo-Labeling,42,1.0,15,230,245,608,14,2271141760,12374016,1
COFs,Pseudo-Labeling,43,0.1,2,23,25,608,14,229064832,12374016,1
COFs,Pseudo-Labeling,43,0.3,4,69,73,608,14,679391872,12374016,1
COFs,Pseudo-Labeling,43,0.5,8,115,123,608,14,1137521536,12374016,1
COFs,Pseudo-Labeling,43,0.7,10,161,171,608,14,1587848576,12374016,1
COFs,Pseudo-Labeling,43,1.0,15,230,245,608,14,2271141760,12374016,1
COFs,Adapter,42,0.1,2,23,25,608,14,139749632,11128832,1
COFs,Adapter,42,0.3,4,69,73,608,14,411031296,11128832,1
COFs,Adapter,42,0.5,8,115,123,608,14,690530560,11128832,1
COFs,Adapter,42,0.7,10,161,171,608,14,961812224,11128832,1
COFs,Adapter,42,1.0,15,230,245,608,14,1376952320,11128832,1
COFs,Adapter,43,0.1,2,23,25,608,14,139749632,11128832,1
COFs,Adapter,43,0.3,4,69,73,608,14,411031296,11128832,1
COFs,Adapter,43,0.5,8,115,123,608,14,690530560,11128832,1
COFs,Adapter,43,0.7,10,161,171,608,14,961812224,11128832,1
COFs,Adapter,43,1.0,15,230,245,608,14,1376952320,11128832,1
FreeSolv,MFGP,42,0.1,2,26,28,640,10,7601664,24014592,1
FreeSolv,MFGP,42,0.3,7,78,85,640,10,200305900,79335600,1
FreeSolv,MFGP,42,0.5,12,130,142,640,10,2341040400,143285952,1
FreeSolv,MFGP,42,0.7,17,181,198,640,10,5354639136,214517952,1
FreeSolv,MFGP,42,1.0,24,259,283,640,10,13799655056,338554032,1
FreeSolv,MFGP,43,0.1,2,26,28,640,10,9026976,24014592,1
FreeSolv,MFGP,43,0.3,7,78,85,640,10,363012900,79335600,1
FreeSolv,MFGP,43,0.5,12,130,142,640,10,1751445040,143285952,1
FreeSolv,MFGP,43,0.7,17,181,198,640,10,4462199280,214517952,1
FreeSolv,MFGP,43,1.0,24,259,283,640,10,21269716264,338554032,1
FreeSolv,NARGP,42,0.1,2,26,28,640,10,1900840,23843944,1
FreeSolv,NARGP,42,0.3,7,78,85,640,10,50712174,77592314,1
FreeSolv,NARGP,42,0.5,12,130,142,640,10,289070808,138328224,1
FreeSolv,NARGP,42,0.7,17,181,198,640,10,859664644,204766554,1
FreeSolv,NARGP,42,1.0,24,259,283,640,10,7353473768,318811776,1
FreeSolv,NARGP,43,0.1,2,26,28,640,10,2239528,23843944,1
FreeSolv,NARGP,43,0.3,7,78,85,640,10,54896316,77592314,1
FreeSolv,NARGP,43,0.5,12,130,142,640,10,345471880,138328224,1
FreeSolv,NARGP,43,0.7,17,181,198,640,10,1288178524,204766554,1
FreeSolv,NARGP,43,1.0,24,259,283,640,10,1873224392,318811776,1
FreeSolv,DKL Multi-Fidelity,42,0.1,2,26,28,640,10,532796000,48877264,1
FreeSolv,DKL Multi-Fidelity,42,0.3,7,78,85,640,10,2441042000,100392496,1
FreeSolv,DKL Multi-Fidelity,42,0.5,12,130,142,640,10,6376664000,152427568,1
FreeSolv,DKL Multi-Fidelity,42,0.7,17,181,198,640,10,13293336000,204055984,1
FreeSolv,DKL Multi-Fidelity,42,1.0,24,259,283,640,10,31941656000,283379344,1
FreeSolv,DKL Multi-Fidelity,43,0.1,2,26,28,640,10,532796000,48877264,1
FreeSolv,DKL Multi-Fidelity,43,0.3,7,78,85,640,10,2441042000,100392496,1
FreeSolv,DKL Multi-Fidelity,43,0.5,12,130,142,640,10,6376664000,152427568,1
FreeSolv,DKL Multi-Fidelity,43,0.7,17,181,198,640,10,13293336000,204055984,1
FreeSolv,DKL Multi-Fidelity,43,1.0,24,259,283,640,10,31941656000,283379344,1
FreeSolv,Sparse MFGP,42,0.1,2,26,28,640,10,385404000,14542504,1
FreeSolv,Sparse MFGP,42,0.3,7,78,85,640,10,8490747000,33328108,1
FreeSolv,Sparse MFGP,42,0.5,12,130,142,640,10,18889980000,41066728,1
FreeSolv,Sparse MFGP,42,0.7,17,181,198,640,10,26216348000,41066728,1
FreeSolv,Sparse MFGP,42,1.0,24,259,283,640,10,37792158000,41066728,1
FreeSolv,Sparse MFGP,43,0.1,2,26,28,640,10,385404000,14542504,1
FreeSolv,Sparse MFGP,43,0.3,7,78,85,640,10,8490747000,33328108,1
FreeSolv,Sparse MFGP,43,0.5,12,130,142,640,10,18889980000,41066728,1
FreeSolv,Sparse MFGP,43,0.7,17,181,198,640,10,26216348000,41066728,1
FreeSolv,Sparse MFGP,43,1.0,24,259,283,640,10,37792158000,41066728,1
FreeSolv,Sequential,42,0.1,2,26,28,640,10,150825472,12369920,1
FreeSolv,Sequential,42,0.3,7,78,85,640,10,456214016,12369920,1
FreeSolv,Sequential,42,0.5,12,130,142,640,10,761602560,12369920,1
FreeSolv,Sequential,42,0.7,17,181,198,640,10,1061477632,12369920,1
FreeSolv,Sequential,42,1.0,24,259,283,640,10,1517691648,12369920,1
FreeSolv,Sequential,43,0.1,2,26,28,640,10,150825472,12369920,1
FreeSolv,Sequential,43,0.3,7,78,85,640,10,456214016,12369920,1
FreeSolv,Sequential,43,0.5,12,130,142,640,10,761602560,12369920,1
FreeSolv,Sequential,43,0.7,17,181,198,640,10,1061477632,12369920,1
FreeSolv,Sequential,43,1.0,24,259,283,640,10,1517691648,12369920,1
FreeSolv,Progressive,42,0.1,2,26,28,640,10,76521472,12369920,1
FreeSolv,Progressive,42,0.3,7,78,85,640,10,231926016,12369920,1
FreeSolv,Progressive,42,0.5,12,130,142,640,10,387330560,12369920,1
FreeSolv,Progressive,42,0.7,17,181,198,640,10,539973632,12369920,1
FreeSolv,Progressive,42,1.0,24,259,283,640,10,771899648,12369920,1
FreeSolv,Progressive,43,0.1,2,26,28,640,10,76521472,12369920,1
FreeSolv,Progressive,43,0.3,7,78,85,640,10,231926016,12369920,1
FreeSolv,Progressive,43,0.5,12,130,142,640,10,387330560,12369920,1
FreeSolv,Progressive,43,0.7,17,181,198,640,10,539973632,12369920,1
FreeSolv,Progressive,43,1.0,24,259,283,640,10,771899648,12369920,1
FreeSolv,Curriculum,42,0.1,2,26,28,640,10,158319872,12369920,1
FreeSolv,Curriculum,42,0.3,7,78,85,640,10,455870080,12369920,1
FreeSolv,Curriculum,42,0.5,12,130,142,640,10,760110592,12369920,1
FreeSolv,Curriculum,42,0.7,17,181,198,640,10,1059510400,12369920,1
FreeSolv,Curriculum,42,1.0,24,259,283,640,10,1515679488,12369920,1
FreeSolv,Curriculum,43,0.1,2,26,28,640,10,158319872,12369920,1
FreeSolv,Curriculum,43,0.3,7,78,85,640,10,455870080,12369920,1
FreeSolv,Curriculum,43,0.5,12,130,142,640,10,760110592,12369920,1
FreeSolv,Curriculum,43,0.7,17,181,198,640,10,1059510400,12369920,1
FreeSolv,Curriculum,43,1.0,24,259,283,640,10,1515679488,12369920,1
FreeSolv,Two-Stage Joint,42,0.1,2,26,28,640,10,154937344,12369920,1
FreeSolv,Two-Stage Joint,42,0.3,7,78,85,640,10,470482432,12369920,1
FreeSolv,Two-Stage Joint,42,0.5,12,130,142,640,10,786027520,12369920,1
FreeSolv,Two-Stage Joint,42,0.7,17,181,198,640,10,1096049664,12369920,1
FreeSolv,Two-Stage Joint,42,1.0,24,259,283,640,10,1566532096,12369920,1
FreeSolv,Two-Stage Joint,43,0.1,2,26,28,640,10,154937344,12369920,1
FreeSolv,Two-Stage Joint,43,0.3,7,78,85,640,10,470482432,12369920,1
FreeSolv,Two-Stage Joint,43,0.5,12,130,142,640,10,786027520,12369920,1
FreeSolv,Two-Stage Joint,43,0.7,17,181,198,640,10,1096049664,12369920,1
FreeSolv,Two-Stage Joint,43,1.0,24,259,283,640,10,1566532096,12369920,1
FreeSolv,DNGO-Joint,42,0.1,2,26,28,640,10,237327872,12369920,1
FreeSolv,DNGO-Joint,42,0.3,7,78,85,640,10,723196416,12369920,1
FreeSolv,DNGO-Joint,42,0.5,12,130,142,640,10,1209064960,12369920,1
FreeSolv,DNGO-Joint,42,0.7,17,181,198,640,10,1686668032,12369920,1
FreeSolv,DNGO-Joint,42,1.0,24,259,283,640,10,2409864448,12369920,1
FreeSolv,DNGO-Joint,43,0.1,2,26,28,640,10,237327872,12369920,1
FreeSolv,DNGO-Joint,43,0.3,7,78,85,640,10,723196416,12369920,1
FreeSolv,DNGO-Joint,43,0.5,12,130,142,640,10,1209064960,12369920,1
FreeSolv,DNGO-Joint,43,0.7,17,181,198,640,10,1686668032,12369920,1
FreeSolv,DNGO-Joint,43,1.0,24,259,283,640,10,2409864448,12369920,1
FreeSolv,DNGO-Gradient,42,0.1,2,26,28,640,10,248924672,12369920,1
FreeSolv,DNGO-Gradient,42,0.3,7,78,85,640,10,763785216,12369920,1
FreeSolv,DNGO-Gradient,42,0.5,12,130,142,640,10,1278645760,12369920,1
FreeSolv,DNGO-Gradient,42,0.7,17,181,198,640,10,1785240832,12369920,1
FreeSolv,DNGO-Gradient,42,1.0,24,259,283,640,10,2549026048,12369920,1
FreeSolv,DNGO-Gradient,43,0.1,2,26,28,640,10,248924672,12369920,1
FreeSolv,DNGO-Gradient,43,0.3,7,78,85,640,10,763785216,12369920,1
FreeSolv,DNGO-Gradient,43,0.5,12,130,142,640,10,1278645760,12369920,1
FreeSolv,DNGO-Gradient,43,0.7,17,181,198,640,10,1785240832,12369920,1
FreeSolv,DNGO-Gradient,43,1.0,24,259,283,640,10,2549026048,12369920,1
FreeSolv,Knowledge Distillation,42,0.1,2,26,28,640,10,150825472,12369920,1
FreeSolv,Knowledge Distillation,42,0.3,7,78,85,640,10,456214016,12369920,1
FreeSolv,Knowledge Distillation,42,0.5,12,130,142,640,10,761602560,12369920,1
FreeSolv,Knowledge Distillation,42,0.7,17,181,198,640,10,1061477632,12369920,1
FreeSolv,Knowledge Distillation,42,1.0,24,259,283,640,10,1517691648,12369920,1
FreeSolv,Knowledge Distillation,43,0.1,2,26,28,640,10,150825472,12369920,1
FreeSolv,Knowledge Distillation,43,0.3,7,78,85,640,10,456214016,12369920,1
FreeSolv,Knowledge Distillation,43,0.5,12,130,142,640,10,761602560,12369920,1
FreeSolv,Knowledge Distillation,43,0.7,17,181,198,640,10,1061477632,12369920,1
FreeSolv,Knowledge Distillation,43,1.0,24,259,283,640,10,1517691648,12369920,1
FreeSolv,Domain Adaptation (MMD),42,0.1,2,26,28,640,10,227103744,12369920,1
FreeSolv,Domain Adaptation (MMD),42,0.3,7,78,85,640,10,687788032,12369920,1
FreeSolv,Domain Adaptation (MMD),42,0.5,12,130,142,640,10,1148472320,12369920,1
FreeSolv,Domain Adaptation (MMD),42,0.7,17,181,198,640,10,1600920064,12369920,1
FreeSolv,Domain Adaptation (MMD),42,1.0,24,259,283,640,10,2288708096,12369920,1
FreeSolv,Domain Adaptation (MMD),43,0.1,2,26,28,640,10,227103744,12369920,1
FreeSolv,Domain Adaptation (MMD),43,0.3,7,78,85,640,10,687788032,12369920,1
FreeSolv,Domain Adaptation (MMD),43,0.5,12,130,142,640,10,1148472320,12369920,1
FreeSolv,Domain Adaptation (MMD),43,0.7,17,181,198,640,10,1600920064,12369920,1
FreeSolv,Domain Adaptation (MMD),43,1.0,24,259,283,640,10,2288708096,12369920,1
FreeSolv,Soft Parameter Sharing,42,0.1,2,26,28,640,10,166031872,12369920,1
FreeSolv,Soft Parameter Sharing,42,0.3,7,78,85,640,10,509436416,12369920,1
FreeSolv,Soft Parameter Sharing,42,0.5,12,130,142,640,10,852840960,12369920,1
FreeSolv,Soft Parameter Sharing,42,0.7,17,181,198,640,10,1190732032,12369920,1
FreeSolv,Soft Parameter Sharing,42,1.0,24,259,283,640,10,1700168448,12369920,1
FreeSolv,Soft Parameter Sharing,43,0.1,2,26,28,640,10,166031872,12369920,1
FreeSolv,Soft Parameter Sharing,43,0.3,7,78,85,640,10,509436416,12369920,1
FreeSolv,Soft Parameter Sharing,43,0.5,12,130,142,640,10,852840960,12369920,1
FreeSolv,Soft Parameter Sharing,43,0.7,17,181,198,640,10,1190732032,12369920,1
FreeSolv,Soft Parameter Sharing,43,1.0,24,259,283,640,10,1700168448,12369920,1
FreeSolv,Pseudo-Labeling,42,0.1,2,26,28,640,10,248271872,12369920,1
FreeSolv,Pseudo-Labeling,42,0.3,7,78,85,640,10,748562816,12369920,1
FreeSolv,Pseudo-Labeling,42,0.5,12,130,142,640,10,1248853760,12369920,1
FreeSolv,Pseudo-Labeling,42,0.7,17,181,198,640,10,1739884032,12369920,1
FreeSolv,Pseudo-Labeling,42,1.0,24,259,283,640,10,2488446848,12369920,1
FreeSolv,Pseudo-Labeling,43,0.1,2,26,28,640,10,248271872,12369920,1
FreeSolv,Pseudo-Labeling,43,0.3,7,78,85,640,10,748562816,12369920,1
FreeSolv,Pseudo-Labeling,43,0.5,12,130,142,640,10,1248853760,12369920,1
FreeSolv,Pseudo-Labeling,43,0.7,17,181,198,640,10,1739884032,12369920,1
FreeSolv,Pseudo-Labeling,43,1.0,24,259,283,640,10,2488446848,12369920,1
FreeSolv,Adapter,42,0.1,2,26,28,640,10,151465472,11386880,1
FreeSolv,Adapter,42,0.3,7,78,85,640,10,458454016,11386880,1
FreeSolv,Adapter,42,0.5,12,130,142,640,10,765442560,11386880,1
FreeSolv,Adapter,42,0.7,17,181,198,640,10,1066917632,11386880,1
FreeSolv,Adapter,42,1.0,24,259,283,640,10,1525371648,11386880,1
FreeSolv,Adapter,43,0.1,2,26,28,640,10,151465472,11386880,1
FreeSolv,Adapter,43,0.3,7,78,85,640,10,458454016,11386880,1
FreeSolv,Adapter,43,0.5,12,130,142,640,10,765442560,11386880,1
FreeSolv,Adapter,43,0.7,17,181,198,640,10,1066917632,11386880,1
FreeSolv,Adapter,43,1.0,24,259,283,640,10,1525371648,11386880,1
Polarizability,MFGP,42,0.1,2,8,10,1134,10,348600,25973400,1
Polarizability,MFGP,42,0.3,5,25,30,1134,10,9826200,79309800,1
Polarizability,MFGP,42,0.5,8,42,50,1134,10,51660000,134499000,1
Polarizability,MFGP,42,0.7,11,58,69,1134,10,212283468,188644896,1
Polarizability,MFGP,42,1.0,16,83,99,1134,10,583277112,277542936,1
Polarizability,MFGP,43,0.1,2,8,10,1134,10,315400,25973400,1
Polarizability,MFGP,43,0.3,5,25,30,1134,10,6303600,79309800,1
Polarizability,MFGP,43,0.5,8,42,50,1134,10,57195000,134499000,1
Polarizability,MFGP,43,0.7,11,58,69,1134,10,160902756,188644896,1
Polarizability,MFGP,43,1.0,16,83,99,1134,10,654079536,277542936,1
Polarizability,NARGP,42,0.1,2,8,10,1134,10,130240,25896128,1
Polarizability,NARGP,42,0.3,5,25,30,1134,10,5496250,78700250,1
Polarizability,NARGP,42,0.5,8,42,50,1134,10,18965352,132856568,1
Polarizability,NARGP,42,0.7,11,58,69,1134,10,77486356,185525546,1
Polarizability,NARGP,42,1.0,16,83,99,1134,10,273445656,271055336,1
Polarizability,NARGP,43,0.1,2,8,10,1134,10,222736,25896128,1
Polarizability,NARGP,43,0.3,5,25,30,1134,10,6252500,78700250,1
Polarizability,NARGP,43,0.5,8,42,50,1134,10,25908008,132856568,1
Polarizability,NARGP,43,0.7,11,58,69,1134,10,63891208,185525546,1
Polarizability,NARGP,43,1.0,16,83,99,1134,10,233506968,271055336,1
Polarizability,DKL Multi-Fidelity,42,0.1,2,8,10,1134,10,173192000,91398568,1
Polarizability,DKL Multi-Fidelity,42,0.3,5,25,30,1134,10,577752000,145221688,1
Polarizability,DKL Multi-Fidelity,42,0.5,8,42,50,1134,10,1099912000,199108808,1
Polarizability,DKL Multi-Fidelity,42,0.7,11,58,69,1134,10,1748610000,250360852,1
Polarizability,DKL Multi-Fidelity,42,1.0,16,83,99,1134,10,3177120000,331402732,1
Polarizability,DKL Multi-Fidelity,43,0.1,2,8,10,1134,10,173192000,91398568,1
Polarizability,DKL Multi-Fidelity,43,0.3,5,25,30,1134,10,577752000,145221688,1
Polarizability,DKL Multi-Fidelity,43,0.5,8,42,50,1134,10,1099912000,199108808,1
Polarizability,DKL Multi-Fidelity,43,0.7,11,58,69,1134,10,1748610000,250360852,1
Polarizability,DKL Multi-Fidelity,43,1.0,16,83,99,1134,10,3177120000,331402732,1
Polarizability,Sparse MFGP,42,0.1,2,8,10,1134,10,27672000,37130048,1
Polarizability,Sparse MFGP,42,0.3,5,25,30,1134,10,463992000,42096848,1
Polarizability,Sparse MFGP,42,0.5,8,42,50,1134,10,1888312000,50714848,1
Polarizability,Sparse MFGP,42,0.7,11,58,69,1134,10,4681179000,62283872,1
Polarizability,Sparse MFGP,42,1.0,16,83,99,1134,10,13164339000,87259832,1
Polarizability,Sparse MFGP,43,0.1,2,8,10,1134,10,27672000,37130048,1
Polarizability,Sparse MFGP,43,0.3,5,25,30,1134,10,463992000,42096848,1
Polarizability,Sparse MFGP,43,0.5,8,42,50,1134,10,1888312000,50714848,1
Polarizability,Sparse MFGP,43,0.7,11,58,69,1134,10,4681179000,62283872,1
Polarizability,Sparse MFGP,43,1.0,16,83,99,1134,10,13164339000,87259832,1
Polarizability,Sequential,42,0.1,2,8,10,1134,10,51582976,21917952,1
Polarizability,Sequential,42,0.3,5,25,30,1134,10,156524800,21917952,1
Polarizability,Sequential,42,0.5,8,42,50,1134,10,261466624,21917952,1
Polarizability,Sequential,42,0.7,11,58,69,1134,10,360894976,21917952,1
Polarizability,Sequential,42,1.0,16,83,99,1134,10,517419776,21917952,1
Polarizability,Sequential,43,0.1,2,8,10,1134,10,51582976,21917952,1
Polarizability,Sequential,43,0.3,5,25,30,1134,10,156524800,21917952,1
Polarizability,Sequential,43,0.5,8,42,50,1134,10,261466624,21917952,1
Polarizability,Sequential,43,0.7,11,58,69,1134,10,360894976,21917952,1
Polarizability,Sequential,43,1.0,16,83,99,1134,10,517419776,21917952,1
Polarizability,Progressive,42,0.1,2,8,10,1134,10,26814976,21917952,1
Polarizability,Progressive,42,0.3,5,25,30,1134,10,80844800,21917952,1
Polarizability,Progressive,42,0.5,8,42,50,1134,10,134874624,21917952,1
Polarizability,Progressive,42,0.7,11,58,69,1134,10,186142976,21917952,1
Polarizability,Progressive,42,1.0,16,83,99,1134,10,266987776,21917952,1
Polarizability,Progressive,43,0.1,2,8,10,1134,10,26814976,21917952,1
Polarizability,Progressive,43,0.3,5,25,30,1134,10,80844800,21917952,1
Polarizability,Progressive,43,0.5,8,42,50,1134,10,134874624,21917952,1
Polarizability,Progressive,43,0.7,11,58,69,1134,10,186142976,21917952,1
Polarizability,Progressive,43,1.0,16,83,99,1134,10,266987776,21917952,1
Polarizability,Curriculum,42,0.1,2,8,10,1134,10,59077376,21917952,1
Polarizability,Curriculum,42,0.3,5,25,30,1134,10,157432448,21917952,1
Polarizability,Curriculum,42,0.5,8,42,50,1134,10,260833280,21917952,1
Polarizability,Curriculum,42,0.7,11,58,69,1134,10,359505536,21917952,1
Polarizability,Curriculum,42,1.0,16,83,99,1134,10,515629824,21917952,1
Polarizability,Curriculum,43,0.1,2,8,10,1134,10,59077376,21917952,1
Polarizability,Curriculum,43,0.3,5,25,30,1134,10,157432448,21917952,1
Polarizability,Curriculum,43,0.5,8,42,50,1134,10,260833280,21917952,1
Polarizability,Curriculum,43,0.7,11,58,69,1134,10,359505536,21917952,1
Polarizability,Curriculum,43,1.0,16,83,99,1134,10,515629824,21917952,1
Polarizability,Two-Stage Joint,42,0.1,2,8,10,1134,10,55524352,21917952,1
Polarizability,Two-Stage Joint,42,0.3,5,25,30,1134,10,166425600,21917952,1
Polarizability,Two-Stage Joint,42,0.5,8,42,50,1134,10,277326848,21917952,1
Polarizability,Two-Stage Joint,42,0.7,11,58,69,1134,10,382705152,21917952,1
Polarizability,Two-Stage Joint,42,1.0,16,83,99,1134,10,549130752,21917952,1
Polarizability,Two-Stage Joint,43,0.1,2,8,10,1134,10,55524352,21917952,1
Polarizability,Two-Stage Joint,43,0.3,5,25,30,1134,10,166425600,21917952,1
Polarizability,Two-Stage Joint,43,0.5,8,42,50,1134,10,277326848,21917952,1
Polarizability,Two-Stage Joint,43,0.7,11,58,69,1134,10,382705152,21917952,1
Polarizability,Two-Stage Joint,43,1.0,16,83,99,1134,10,549130752,21917952,1
Polarizability,DNGO-Joint,42,0.1,2,8,10,1134,10,88549376,21917952,1
Polarizability,DNGO-Joint,42,0.3,5,25,30,1134,10,262700800,21917952,1
Polarizability,DNGO-Joint,42,0.5,8,42,50,1134,10,436852224,21917952,1
Polarizability,DNGO-Joint,42,0.7,11,58,69,1134,10,602738176,21917952,1
Polarizability,DNGO-Joint,42,1.0,16,83,99,1134,10,865438976,21917952,1
Polarizability,DNGO-Joint,43,0.1,2,8,10,1134,10,88549376,21917952,1
Polarizability,DNGO-Joint,43,0.3,5,25,30,1134,10,262700800,21917952,1
Polarizability,DNGO-Joint,43,0.5,8,42,50,1134,10,436852224,21917952,1
