benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,lf_rmse,lf_nll,lf_ece,lf_sharpness,hf_rmse,n_held
FreeSolv,MFGP,50,0.5500000000000003,24,259,-2.88,2534.036,2.535402255845645,2.3404033746505086,0.07582633053221287,1.5173429950769286,2.447003383947052,357
FreeSolv,MFGP,48,0.7200000000000002,24,259,-2.71,2784.13,2.35872638760297,2.3204738897169777,0.10980392156862744,1.4335751707734472,2.1589834832408776,357
FreeSolv,Curriculum,51,0.7600000000000002,24,259,-2.67,307.443,1.924057603609671,2.449468102056025,0.26694677871148464,4.1675915905935605,3.3805368651633514,357
FreeSolv,Two-Stage Joint,43,0.5,24,259,-2.93,567.141,2.2029985511959658,2.5001953022755825,0.21680672268907566,4.278615085412146,2.231130603650857,357
FreeSolv,Two-Stage Joint,42,1.6400000000000001,24,259,-1.79,583.512,2.0133914514793285,2.44523945635038,0.2224089635854342,4.0905969558310495,2.2302262465983365,357
FreeSolv,Two-Stage Joint,44,0.27,24,259,-3.16,582.976,2.095708207978492,2.4441384058459183,0.21344537815126055,4.03119040718627,2.208062002023856,357
FreeSolv,Two-Stage Joint,45,0.5,24,259,-2.93,551.922,1.9776938252474014,2.4903956972225223,0.2549019607843137,4.361010205717323,2.3861574865799686,357
FreeSolv,Two-Stage Joint,46,0.5500000000000003,24,259,-2.88,585.311,2.2359423416606714,2.508994927621943,0.23249299719887961,4.315100126413459,2.3854338635477133,357
FreeSolv,DNGO-Joint,42,0.8800000000000003,24,259,-2.55,377.271,1.9559661375101332,2.408529241591898,0.24453781512605044,3.9390734131697815,2.2759135201367573,357
FreeSolv,Two-Stage Joint,47,0.31000000000000005,24,259,-3.12,579.69,2.0393836038179214,2.5073045243480054,0.24565826330532214,4.423501319261618,2.2549571518557774,357
FreeSolv,DNGO-Joint,43,1.37,24,259,-2.06,391.039,2.1274652135053427,2.452217316234102,0.2507002801120448,4.067796410786359,2.123520524659051,357
FreeSolv,Two-Stage Joint,50,0.30000000000000027,24,259,-3.13,564.475,2.0517299403172693,2.4924892788126014,0.23921568627450984,4.319859715176484,2.2639228586263895,357
FreeSolv,Two-Stage Joint,48,0.31000000000000005,24,259,-3.12,598.068,2.031627420657107,2.4674098404930187,0.24145658263305325,4.201974428676331,2.020716242183756,357
FreeSolv,Two-Stage Joint,49,0.30000000000000027,24,259,-3.13,589.333,1.9954124555182275,2.471759932856016,0.24033613445378155,4.240912727902811,1.9490136835685086,357
FreeSolv,Two-Stage Joint,51,0.9500000000000002,24,259,-2.48,599.844,2.0903426896364548,2.4866585484218717,0.23809523809523814,4.264217089487196,2.9560375093168267,357
