benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,calib_budget,lf_rmse,lf_nll,lf_ece,lf_sharpness,hf_rmse,n_held
Park-Fav,Progressive,47,0.9061440243658865,4,55,0.9061440243658865,179.406,9.5,0.693361769546956,2.4035677342981345,0.4157360406091371,4.362372719591208,2.574287120921488,197
Park-Fav,Progressive,48,0.9061440243658865,4,55,0.9061440243658865,181.148,9.5,0.579216068257984,2.4301121473556533,0.4182741116751269,4.495357820468165,3.0149289091604077,197
Park-Fav,Progressive,49,0.9061348491953457,4,55,0.9061348491953457,180.441,9.5,0.5611021799121082,2.4715331021951683,0.42385786802030456,4.691650454674107,2.8341443025170316,197
Park-Fav,MFGP,43,2.070648425403671e-07,4,55,2.070648425403671e-07,1787.464,9.5,3.213969580366496,5.823564620702115,0.4335025380710659,0.7815228127709756,7.088717065029602,197
Park-Fav,MFGP,44,1.560885138775958e-07,4,55,1.560885138775958e-07,1802.307,9.5,0.7648703672009373,1.4705658826284882,0.12131979695431469,0.6095132190336966,4.443495356324516,197
Park-Fav,MFGP,42,2.051277131164388e-07,4,55,2.051277131164388e-07,1809.936,9.5,1.7548245914276719,5.0968048081502735,0.3456852791878172,0.831226876062438,3.322980408781281,197
Park-Fav,MFGP,45,1.1281375602258802e-07,4,55,1.1281375602258802e-07,1846.717,9.5,0.9214958050740827,1.8062652187700425,0.09238578680203044,0.7625816521588595,4.622785688684593,197
Park-Fav,MFGP,46,1.5248471779533417e-07,4,55,1.5248471779533417e-07,1876.14,9.5,0.857932290858659,1.8150353451444827,0.14213197969543145,0.7592918879061408,4.147035589542419,197
Park-Fav,MFGP,51,0.9061348491953457,4,55,0.9061348491953457,1887.35,9.5,2.6785286634903134,11.69042983113472,0.2954314720812182,0.7742741751658324,3.0412567647815965,197
Park-Fav,MFGP,48,0.9060940243681365,4,55,0.9060940243681365,1889.788,9.5,1.7209122936477406,5.932368300827501,0.22030456852791874,0.7113513636260508,3.3873035534133624,197
Park-Fav,MFGP,49,1.1161802446987618e-07,4,55,1.1161802446987618e-07,1962.306,9.5,2.962337989112661,11.11775793793537,0.48223350253807107,0.7266593268142317,2.248880942395715,197
Park-Fav,Progressive,50,0.9061440243658865,4,55,0.9061440243658865,251.873,9.5,0.6360904649666919,2.4221707887429647,0.40812182741116754,4.45093246482442,2.101174821909826,197
Park-Fav,Progressive,51,0.9061440243658865,4,55,0.9061440243658865,258.541,9.5,0.6242464210124203,2.4651224954114075,0.40913705583756343,4.653180368449111,3.3549914657685296,197
Park-Fav,MFGP,47,1.2568613017750787,4,55,1.2568613017750787,2072.673,9.5,2.45176407853252,7.234423069562598,0.3182741116751268,0.8155523032890722,2.5830306261759066,197
Park-Fav,Curriculum,42,0.9061440243658865,4,55,0.9061440243658865,433.307,9.5,0.503457437021762,2.446679377173647,0.43908629441624364,4.581521968337261,4.073743635511966,197
Park-Fav,Curriculum,43,1.1281375602258802e-07,4,55,1.1281375602258802e-07,427.228,9.5,0.48460775048429483,2.381750455315214,0.4401015228426396,4.292092577868609,3.4981842445739098,197
Park-Fav,Curriculum,44,2.051277131164388e-07,4,55,2.051277131164388e-07,455.536,9.5,0.35247600419738967,2.398728498028521,0.4593908629441624,4.379011094286828,3.718186110219442,197
Park-Fav,Curriculum,45,1.1161802446987618e-07,4,55,1.1161802446987618e-07,451.004,9.5,0.3926291487061442,2.385620359151397,0.44873096446700506,4.318560517933471,3.8123593463647776,197
Park-Fav,MFGP,50,2.5800579021124985e-07,4,55,2.5800579021124985e-07,2303.039,9.5,2.5700203803869686,7.2388088230668215,0.29644670050761424,1.1263068508543193,3.428533376185901,197
Park-Fav,Curriculum,46,2.586872597596253e-07,4,55,2.586872597596253e-07,469.564,9.5,0.45064096942270626,2.390282523392035,0.4467005076142132,4.333621768918636,3.967176013591674,197
Park-Fav,Curriculum,48,0.9061440243658865,4,55,0.9061440243658865,481.94,9.5,0.4160136579165262,2.428527069039145,0.45380710659898477,4.506567162913331,3.263143495939565,197
Park-Fav,Curriculum,47,0.9061440243658865,4,55,0.9061440243658865,486.861,9.5,0.4173771389669526,2.4018957436998605,0.4593908629441624,4.388747189184575,3.4642054532512145,197
Park-Fav,Curriculum,49,2.586872597596253e-07,4,55,2.586872597596253e-07,506.656,9.5,0.39421406272745735,2.4756477567055293,0.4522842639593908,4.72789137644048,2.7555176447355896,197
