benchmark,model,acq,mean
Park-Fav,Adapter,mes,1.0873127313836177e-07
Park-Fav,Adapter,ts,1.0873127313836177e-07
Park-Fav,Curriculum,greedy,1.0873127313836177e-07
Park-Fav,Curriculum,ei,1.0873127313836177e-07
Park-Fav,Curriculum,pi,1.0873127313836177e-07
Park-Fav,Curriculum,ucb,1.0873127313836177e-07
Park-Fav,Curriculum,mes,1.0873127313836177e-07
Park-Fav,Curriculum,ts,1.0873127313836177e-07
Park-Fav,DNGO-Gradient,greedy,1.0873127313836177e-07
Park-Fav,DNGO-Gradient,ei,1.0873127313836177e-07
Park-Fav,DNGO-Gradient,pi,1.0873127313836177e-07
Park-Fav,DNGO-Gradient,ucb,1.0873127313836177e-07
Park-Fav,DNGO-Gradient,mes,1.0873127313836177e-07
Park-Fav,DNGO-Gradient,ts,1.0873127313836177e-07
Park-Fav,DNGO-Joint,greedy,1.0873127313836177e-07
Park-Fav,DNGO-Joint,ei,1.0873127313836177e-07
Park-Fav,DNGO-Joint,pi,1.0873127313836177e-07
Park-Fav,DNGO-Joint,ucb,1.0873127313836177e-07
Park-Fav,DNGO-Joint,mes,1.0873127313836177e-07
Park-Fav,DNGO-Joint,ts,1.0873127313836177e-07
Park-Fav,Domain Adaptation (MMD),greedy,1.0873127313836177e-07
Park-Fav,Domain Adaptation (MMD),ei,1.0873127313836177e-07
Park-Fav,Domain Adaptation (MMD),pi,1.0873127313836177e-07
Park-Fav,Domain Adaptation (MMD),ucb,1.0873127313836177e-07
Park-Fav,Domain Adaptation (MMD),mes,1.0873127313836177e-07
Park-Fav,Domain Adaptation (MMD),ts,1.0873127313836177e-07
Park-Fav,Knowledge Distillation,greedy,1.0873127313836177e-07
Park-Fav,Knowledge Distillation,ei,1.0873127313836177e-07
Park-Fav,Knowledge Distillation,pi,1.0873127313836177e-07
Park-Fav,Knowledge Distillation,ucb,1.0873127313836177e-07
Park-Fav,Knowledge Distillation,mes,1.0873127313836177e-07
Park-Fav,Knowledge Distillation,ts,1.0873127313836177e-07
Park-Fav,Progressive,greedy,1.0873127313836177e-07
Park-Fav,Progressive,ei,1.0873127313836177e-07
Park-Fav,Progressive,pi,1.0873127313836177e-07
Park-Fav,Progressive,ucb,1.0873127313836177e-07
Park-Fav,Progressive,mes,1.0873127313836177e-07
Park-Fav,Progressive,ts,1.0873127313836177e-07
Park-Fav,Pseudo-Labeling,greedy,1.0873127313836177e-07
Park-Fav,Pseudo-Labeling,ei,1.0873127313836177e-07
Park-Fav,Pseudo-Labeling,pi,1.0873127313836177e-07
Park-Fav,Pseudo-Labeling,ucb,1.0873127313836177e-07
Park-Fav,Pseudo-Labeling,mes,1.0873127313836177e-07
Park-Fav,Pseudo-Labeling,ts,1.0873127313836177e-07
Park-Fav,Sequential,greedy,1.0873127313836177e-07
Park-Fav,Sequential,ei,1.0873127313836177e-07
Park-Fav,Sequential,pi,1.0873127313836177e-07
Park-Fav,Sequential,ucb,1.0873127313836177e-07
Park-Fav,Sequential,mes,1.0873127313836177e-07
