benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,n_exceptions
Matbench-Gap,Sparse MFGP,45,0.55,10,199,0.55,1381.865,0
Matbench-Gap,Sparse MFGP,46,1.14,10,199,1.14,1409.87,0
Matbench-Gap,Sparse MFGP,47,0.7,10,199,0.7,1410.374,0
Matbench-Gap,Sparse MFGP,48,0.24,10,199,0.24,1409.229,0
Matbench-Gap,Sparse MFGP,49,0.2799999999999998,10,199,0.2799999999999998,1409.497,0
Matbench-Gap,Sparse MFGP,50,0.2000000000000001,10,199,0.2000000000000001,1409.316,0
Matbench-Gap,Sparse MFGP,51,0.2000000000000001,10,199,0.2000000000000001,1410.584,0
Matbench-Gap,Sparse MFGP,52,0.4000000000000001,10,199,0.4000000000000001,1408.144,0
Matbench-Gap,Sparse MFGP,53,0.04,10,199,0.04,1408.732,0
Matbench-Gap,Sparse MFGP,54,0.2000000000000001,10,199,0.2000000000000001,1408.276,0
Matbench-Gap,Sparse MFGP,55,0.3999999999999999,10,199,0.3999999999999999,1408.33,0
Matbench-Gap,Sparse MFGP,56,0.0,10,199,0.0,1408.417,0
Matbench-Gap,Sparse MFGP,57,0.6499999999999999,10,199,0.6499999999999999,1407.856,0
Matbench-Gap,Sparse MFGP,58,0.2299999999999999,10,199,0.2299999999999999,1203.112,0
Matbench-Gap,Sparse MFGP,59,0.2000000000000001,10,199,0.2000000000000001,1192.549,0
Matbench-Gap,Sparse MFGP,60,0.3199999999999998,10,199,0.3199999999999998,915.033,0
Matbench-Gap,Sparse MFGP,61,0.24,10,199,0.24,846.057,0
