benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,lf_rmse,lf_nll,lf_ece,lf_sharpness,hf_rmse,n_held
HOPV15,Curriculum,42,1.5999999999999996,15,149,-8.6,101.14,1.6326211998696971,2.087767920398043,0.13921052631578948,2.6635455114274635,3.043940355539737,76
HOPV15,Curriculum,44,2.999999999999999,15,149,-7.2,91.117,1.7865166473950993,2.110342812414808,0.10078947368421054,2.5862485953213663,2.903767473315081,76
HOPV15,Curriculum,43,1.5999999999999996,15,149,-8.6,117.037,1.9493943306242112,2.1325128235738107,0.06500000000000003,2.477436340222934,2.6333447244813115,76
HOPV15,Curriculum,46,2.999999999999999,15,149,-7.2,98.514,2.048214953868388,2.1731489673082054,0.07578947368421055,2.566905778593434,3.13925071285641,76
HOPV15,Curriculum,45,2.8999999999999995,15,149,-7.3,122.108,1.6886499326123672,2.0821589079779663,0.14210526315789476,2.5785482426586546,3.8328193169790756,76
HOPV15,Curriculum,47,2.469999999999999,15,149,-7.73,105.219,1.7742692291219913,2.0851273887225976,0.09947368421052631,2.495078226168044,2.893491898936,76
HOPV15,Curriculum,48,1.5999999999999996,15,149,-8.6,99.519,1.8904078687438701,2.134770193376198,0.07684210526315792,2.580788122746317,3.3403974970233152,76
HOPV15,Curriculum,49,1.5999999999999996,15,149,-8.6,97.503,1.640333520288276,2.080195810090642,0.14342105263157895,2.6182741846015025,3.003556725441601,76
HOPV15,Curriculum,50,1.5999999999999996,15,149,-8.6,103.093,1.7485524710827884,2.0960170069284048,0.10631578947368422,2.5737617199814506,2.194651927693904,76
HOPV15,Curriculum,51,2.469999999999999,15,149,-7.73,111.467,1.9445810682118947,2.1423432592767306,0.09026315789473685,2.5368261720843988,3.3298044533541513,76
HOPV15,Two-Stage Joint,43,2.8999999999999995,15,149,-7.3,153.234,1.7822839196169888,2.1081745639323386,0.11315789473684212,2.5855804948877377,2.2693263846316114,76
HOPV15,Two-Stage Joint,42,1.5999999999999996,15,149,-8.6,160.85,1.765880732634399,2.1081532228159467,0.10526315789473686,2.5979727297165383,2.3388075717957015,76
HOPV15,Two-Stage Joint,44,0.0,15,149,-10.2,159.537,1.7145213461180273,2.073893473033013,0.09736842105263159,2.503504956055185,2.5005719677762017,76
HOPV15,Two-Stage Joint,45,2.999999999999999,15,149,-7.2,155.201,1.7005124057978769,2.070096895574594,0.10605263157894737,2.5174448655612776,2.3762174059619623,76
HOPV15,Two-Stage Joint,46,3.2799999999999994,15,149,-6.92,153.861,1.91910719056548,2.1052260062189965,0.06789473684210527,2.318132422835441,2.6789324630502915,76
HOPV15,Two-Stage Joint,47,1.5999999999999996,15,149,-8.6,157.535,1.7618521599651298,2.095052035273317,0.10657894736842108,2.556067554797657,2.387072876312824,76
HOPV15,Two-Stage Joint,49,0.0,15,149,-10.2,152.568,1.8359545989652581,2.098132228259091,0.0881578947368421,2.449937758816776,2.824563356163821,76
HOPV15,Two-Stage Joint,48,1.5999999999999996,15,149,-8.6,163.763,1.7399178496676517,2.0907627015934875,0.09868421052631582,2.5614022734109243,2.451927129155968,76
HOPV15,Two-Stage Joint,50,3.1999999999999993,15,149,-7.0,145.259,1.767679582583291,2.0927393162925076,0.09078947368421054,2.5305865730249977,2.4573506230961843,76
HOPV15,Two-Stage Joint,51,2.999999999999999,15,149,-7.2,143.562,1.7227314629207553,2.0815905722254167,0.11447368421052635,2.5344520459941697,2.5141545684691473,76
HOPV15,DNGO-Joint,42,1.5999999999999996,15,149,-8.6,119.249,1.7414639578585418,2.1106104980683744,0.1473684210526316,2.6403424183609587,4.461537522321881,76
HOPV15,DNGO-Joint,43,1.5999999999999996,15,149,-8.6,116.398,1.7239487935543572,2.0979908299440564,0.1368421052631579,2.6222496206237813,4.046122649897851,76
HOPV15,DNGO-Joint,44,1.5999999999999996,15,149,-8.6,111.183,1.7278050512009715,2.0904228931236997,0.14078947368421052,2.5792806651046654,2.8256437535374808,76
HOPV15,DNGO-Joint,45,1.5999999999999996,15,149,-8.6,114.709,1.8477351940801376,2.133345060537584,0.15394736842105267,2.6234504963735272,5.421960542340005,76
HOPV15,DNGO-Joint,46,3.1999999999999993,15,149,-7.0,108.602,1.9510594400966788,2.1695661949032057,0.125,2.669230762414274,2.9887427743194164,76
HOPV15,DNGO-Joint,48,3.789999999999999,15,149,-6.41,106.857,1.8742070991035862,2.1363424444324552,0.12894736842105264,2.6154976910822016,4.904650342060292,76
HOPV15,DNGO-Joint,47,2.999999999999999,15,149,-7.2,116.081,1.9712878522048167,2.153803544391861,0.09736842105263159,2.5567831978549496,4.336149480597054,76
HOPV15,DNGO-Joint,49,1.5999999999999996,15,149,-8.6,117.41,1.7472833194858792,2.099359149925306,0.15394736842105267,2.583272642311741,4.415962427202852,76
HOPV15,DNGO-Joint,50,3.2799999999999994,15,149,-6.92,112.282,1.9958328163624375,2.1705269928990623,0.11184210526315792,2.607420125580035,5.619702092202033,76
HOPV15,DNGO-Joint,51,3.1999999999999993,15,149,-7.0,111.479,1.9801121055646889,2.1743519335062786,0.10210526315789474,2.6455274242000586,5.509550605819435,76
HOPV15,DNGO-Gradient,43,3.2799999999999994,15,149,-6.92,118.933,1.7157498161863218,2.070214237575727,0.1223684210526316,2.505662753565101,3.976205386704002,76
HOPV15,DNGO-Gradient,42,1.5999999999999996,15,149,-8.6,122.97,1.8123490457433904,2.1285271620146213,0.12236842105263161,2.653383660444244,3.841361259356722,76
HOPV15,DNGO-Gradient,44,2.6999999999999993,15,149,-7.5,122.702,1.9092807890050514,2.1302426434215307,0.09473684210526316,2.521947304604373,5.049143926978329,76
HOPV15,DNGO-Gradient,45,1.5999999999999996,15,149,-8.6,125.272,1.7979576392179157,2.118564794618512,0.1236842105263158,2.6138999110101984,3.3954515391703164,76
HOPV15,DNGO-Gradient,46,3.2799999999999994,15,149,-6.92,117.105,1.7271966143561397,2.0853637761871924,0.143421052631579,2.541333647768188,6.474753252641044,76
HOPV15,DNGO-Gradient,47,1.5999999999999996,15,149,-8.6,120.123,1.8894654480561752,2.1219602197018133,0.09736842105263162,2.5192030826651894,4.560997096783665,76
HOPV15,DNGO-Gradient,48,1.5999999999999996,15,149,-8.6,123.832,1.823799322088591,2.1267799133206333,0.10789473684210527,2.621252175296428,3.7632195647505724,76
HOPV15,DNGO-Gradient,49,1.5999999999999996,15,149,-8.6,123.381,1.7249322412522994,2.1034709930721944,0.15131578947368424,2.6261204553911375,3.586302826113268,76
HOPV15,DNGO-Gradient,50,0.0,15,149,-10.2,116.763,2.0317765126199743,2.1768651419964034,0.06763157894736843,2.577349089894476,3.185176222507393,76
HOPV15,Knowledge Distillation,42,2.6999999999999993,15,149,-7.5,88.931,1.6555988965464683,2.073189953502416,0.12236842105263161,2.579229518078489,2.3254955109790196,76
HOPV15,DNGO-Gradient,51,1.5999999999999996,15,149,-8.6,116.898,2.0173528213542355,2.1709656343223354,0.07763157894736843,2.567355297247309,4.474334198919458,76
HOPV15,Knowledge Distillation,43,2.6999999999999993,15,149,-7.5,98.959,1.830633357925925,2.074376725853455,0.05394736842105263,2.3501650151167923,2.341648826709147,76
HOPV15,Knowledge Distillation,46,3.1999999999999993,15,149,-7.0,85.676,1.9432347027597447,2.140681744998045,0.08763157894736842,2.524330987526677,2.5033695633404083,76
HOPV15,Knowledge Distillation,45,0.0,15,149,-10.2,92.289,1.6114563033063691,2.0741771678594945,0.15263157894736848,2.628915710860972,2.375381968743091,76
HOPV15,Knowledge Distillation,44,0.0,15,149,-10.2,100.341,1.7573306430763378,2.121778954434317,0.11447368421052635,2.6758227277852638,2.8146456504997617,76
HOPV15,Knowledge Distillation,47,1.5999999999999996,15,149,-8.6,87.216,1.7246828919838855,2.067795661256869,0.10842105263157895,2.4726473438777568,2.825725154906128,76
HOPV15,Knowledge Distillation,48,1.5999999999999996,15,149,-8.6,93.622,1.826195790415931,2.123323324058149,0.09973684210526318,2.6214120076689045,2.391170387699625,76
HOPV15,Knowledge Distillation,49,0.0,15,149,-10.2,91.345,1.6362786260857056,2.0623729751488193,0.13236842105263158,2.5502107334870665,2.4527918358484033,76
HOPV15,Knowledge Distillation,50,0.0,15,149,-10.2,89.882,1.6630736038840954,2.090008112445487,0.1486842105263158,2.6379966422150183,2.276720650605293,76
HOPV15,Knowledge Distillation,51,3.499999999999999,15,149,-6.7,92.784,1.9062045884398366,2.135158707001203,0.10000000000000002,2.5610912205209813,2.398529352178011,76
HOPV15,Domain Adaptation (MMD),42,2.6999999999999993,15,149,-7.5,167.155,1.732803188970483,2.098775070380925,0.10894736842105265,2.6081476019709946,2.324101341676816,76
HOPV15,Domain Adaptation (MMD),44,2.999999999999999,15,149,-7.2,169.068,1.7747954704943096,2.0923909862330823,0.11000000000000001,2.5307995418031615,3.099027143784992,76
HOPV15,Domain Adaptation (MMD),43,2.999999999999999,15,149,-7.2,176.24,1.7640956972031598,2.0558235025876495,0.07763157894736844,2.3654050639403827,2.395380656654694,76
HOPV15,Domain Adaptation (MMD),45,4.02,15,149,-6.18,189.811,1.6143349376765042,2.0754467719545957,0.14078947368421052,2.633630969755603,2.299492207832981,76
HOPV15,Domain Adaptation (MMD),46,0.0,15,149,-10.2,166.722,2.0783459652245444,2.1917132144014984,0.07973684210526318,2.6039702039065222,2.4072568047108533,76
HOPV15,Domain Adaptation (MMD),47,1.5999999999999996,15,149,-8.6,169.798,1.785582816902162,2.0686349136388356,0.08947368421052634,2.3868829703864627,2.7020244404786404,76
HOPV15,Domain Adaptation (MMD),48,1.5999999999999996,15,149,-8.6,184.805,1.7139081705347283,2.101216853245681,0.11500000000000002,2.6417926245641925,2.265520753766177,76
HOPV15,Soft Parameter Sharing,42,0.0,15,149,-10.2,112.988,1.8023031585432034,2.087034878550127,0.06842105263157897,2.4594462625817415,5.6867026865782195,76
