benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,calib_budget,lf_rmse,lf_nll,lf_ece,lf_sharpness,hf_rmse,n_held
FreeSolv,Sparse MFGP,45,0.5,24,259,-2.93,5341.354,49.9,1.8091061153602008,1.9377525307359014,0.032661064425770325,1.5031335353851318,1.8287078747482801,357
Polarizability,NARGP,45,0.44597186700767266,16,83,-0.5540281329923273,1322.577,29.86,0.043660753031081974,-1.9874534047607106,0.03458937198067635,0.03931171363544854,0.13638096391686275,1035
FreeSolv,Sparse MFGP,46,0.8700000000000001,24,259,-2.56,5287.565,49.9,1.9115812694938041,1.9829192119192918,0.034369747899159676,1.5229161977767944,1.6817079642138388,357
FreeSolv,Sparse MFGP,47,0.8800000000000003,24,259,-2.55,5284.833,49.9,1.8796214195632988,1.985831473285352,0.021540616246498605,1.49967622756958,1.9032037583543504,357
Polarizability,NARGP,46,0.0,16,83,-1.0,1163.557,29.86,0.0609287276313887,-1.8231138417674582,0.07140096618357486,0.03787431395407473,0.12613872839449963,1035
Polarizability,NARGP,47,0.44597186700767266,16,83,-0.5540281329923273,1117.957,29.86,0.053139626384710835,-1.9365419934441994,0.0344927536231884,0.03813374674569852,0.1909218639924873,1035
Polarizability,NARGP,50,0.48593350383631717,16,83,-0.5140664961636828,914.988,29.86,0.037006609433248766,-2.1080952049380337,0.06956521739130436,0.0364794626415708,0.08357877649047096,1035
Polarizability,NARGP,48,0.0,16,83,-1.0,1244.937,29.86,0.11737174404550192,-0.9410567922148295,0.06830917874396134,0.08803084569514952,0.09816880565581816,1035
Polarizability,DKL Multi-Fidelity,42,0.21483375959079287,16,83,-0.7851662404092071,1076.591,29.86,0.08751489645904185,-1.0593527710524198,0.06932367149758452,0.09382729977369308,0.06262577263603841,1035
Polarizability,DKL Multi-Fidelity,43,0.08919437340153435,16,83,-0.9108056265984656,1077.641,29.86,0.05269118520312401,-1.4512428337624084,0.0836714975845411,0.07259533554315567,0.05643513934638642,1035
Polarizability,NARGP,49,0.42966751918158574,16,83,-0.5703324808184143,1381.893,29.86,0.03789069249048818,-2.018686445047676,0.02531400966183575,0.034974695277657994,0.08865916334358492,1035
Polarizability,NARGP,51,0.0,16,83,-1.0,1267.369,29.86,0.04870777575022187,-1.9542829470931475,0.06637681159420293,0.04258580778394772,0.1431501320849622,1035
FreeSolv,Sparse MFGP,48,0.5,24,259,-2.93,5034.917,49.9,1.859428431873773,1.9407203372138253,0.03484593837535014,1.521902084350586,2.4752229762133133,357
FreeSolv,Sparse MFGP,49,0.5,24,259,-2.93,5037.685,49.9,1.8072267858509965,1.9211008826854938,0.03621848739495799,1.503284215927124,1.8022730093980859,357
FreeSolv,Sparse MFGP,50,0.5500000000000003,24,259,-2.88,5038.442,49.9,1.8703690646419118,1.9678344175126856,0.020980392156862752,1.4827734231948853,1.779154437257751,357
Polarizability,DKL Multi-Fidelity,44,0.08919437340153435,16,83,-0.9108056265984656,1125.494,29.86,0.04254773663741196,-1.5315481337505295,0.15120772946859903,0.07310646772384644,0.0643616360436582,1035
FreeSolv,Sparse MFGP,51,0.30000000000000027,24,259,-3.13,5034.141,49.9,1.7854596193975134,1.9214040880514944,0.03453781512605042,1.4978837966918945,1.6938843678372943,357
Polarizability,DKL Multi-Fidelity,45,0.2710997442455244,16,83,-0.7289002557544756,1133.693,29.86,0.047879530822401394,-1.4695316114087336,0.13922705314009662,0.07649080455303192,0.03740819658446429,1035
Polarizability,DKL Multi-Fidelity,46,0.0,16,83,-1.0,1134.354,29.86,0.0368892605538437,-1.5768675419234055,0.22685990338164252,0.07302412390708923,0.0816266771669823,1035
